pptx	23	24109815
epub	16	19708528
doc	12	1820672
docx	16	845890
ppt	4	7349760
dmg	12	389547466
pdf	49	70347912
zip	10	66519887
mp3	90	568988098
jpg	6	1455487
xlsx	6	667648
txt	4	10396
dat	1	47183124
crx	6	355896
nes	1	131088
htm	1	388
bin	1	7840768
mp4	1	0
bz2	1	6831818
xml	1	876
csv	3	67514
png	12	1079602
tiff	2	57944
cc	97	1769286
h	101	544991
in	8	67293
conf	2	4050
guess	1	44826
bot	1	1003
sub	1	35543
m	2	10799
install	2	366
config	1	222
manpages	1	75
postinst	1	1635
postrm	1	565
templates	1	1276
debian	1	193
source	1	191
wiki	3	4435
client	1	4048
newcore	1	14756
xsd	1	12034
dtd	10	94250
sh	4	2243
patch	1	2582
sql	1	1263
pl	1	334
py	1	35059
spec	1	1677
1	3	13911
5	3	3247
diff	1	1720
patches	1	466
appletv	1	5357
win32	1	3675
rb	6	20726
wav	5	260602
xz	1	699968
html	2	246734
roz	1	491220
xls	1	113152
db	1	37376
part	1	1538222
